更新时间,#genre#
20260907 04:09,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8


央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV1,http://fn.gcl.de5.net:5908/gsh950428/608807420
CCTV1,http://223.247.25.219:1234/608807420
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV1,http://txycdn.video.qq.com/1755328503.m3u8?time=1788394238&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgID7OIj-jaEZFc_dwKNpK_vZ0f9Bz7SCHaUPzcB4GzUcpEDldhygyowJcG0kY1ELZrzQBcAwdH-MamkeaP6aOcg6PYC4T7YZepWsWBR80LVMo1yy_0LopP9eBjT6boOzQbqWwBg_68KE8clVb15NqgzPFdUjpd8Uy8VB2XrGTdil5FpTFfiv9WShEXzhRSzX9JbEYUI1-pnvo0dfxI_kIMxHAFUlPh6yGES8U4Byxp18H49nARnAMmJJLJrW8sPuh92dTG--qGIVqcu24HTrZJ2gqpeCf-RSYJKK_5yAUVBVvy1FiS0zS9FOAWJ6Aw1NaaTfTYGBEhZ_yf3Cwt8mLu2t9s76hJ6tNxK6bdXeyjFJ1-UTXYx0RerxSdSEHN4bTg1EzY8B83T1pqV42NOEMl8gZKsixvV2bERoDIvssLjuUw3mB6F2ohyDQK4w_aqgq5KvzHs0c3ebzbBh_U8XF1nwe77lkKke_vswojMqkxbEqnyLvCpQeBYC3f8LJs08o1tLxPnSuulP6Vm_k2NjFAXlNDw-8Re_DrCcaDtp5MUSsG5oN&drmtype=0
CCTV1,http://120.196.235.42:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.57.140.161:10081/newlive/live/hls/1/live.m3u8
CCTV1,http://222.240.44.42:12810/newlive/live/hls/1/live.m3u8
CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://116.52.173.236:1234/608807420
CCTV1,http://117.63.79.182:1234/608807420
CCTV1,http://183.94.146.79:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://49.87.154.246:10091/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
